"type","gasUsed","gasPrice","1ETH*USD","gasUsed*gasPrice(Ether)","gasUsed*gasPrice(USD)","time(s)"
"prescribe",534309,"20",1300,"0.01068618",13.892034,0
"prescribe",534225,"20",1300,"0.0106845",13.88985,1
"prescribe",466757,"20",1300,"0.00933514",12.135682000000001,0
"prescribe",615383,"20",1300,"0.01230766",15.999958,0
"prescribe",615551,"20",1300,"0.01231102",16.004326000000002,1
"prescribe",466805,"20",1300,"0.0093361",12.13693,0
"prescribe",466853,"20",1300,"0.00933706",12.138178,0
"prescribe",615443,"20",1300,"0.01230886",16.001518,1
"prescribe",615467,"20",1300,"0.01230934",16.002142,0
"prescribe",466745,"20",1300,"0.0093349",12.13537,0
"prescribe",615455,"20",1300,"0.0123091",16.001829999999998,0
"prescribe",466697,"20",1300,"0.00933394",12.134122000000001,1
"prescribe",507461,"20",1300,"0.01014922",13.193986,0
"prescribe",466673,"20",1300,"0.00933346",12.133498,0
"prescribe",466805,"20",1300,"0.0093361",12.13693,1
"prescribe",466745,"20",1300,"0.0093349",12.13537,0
"prescribe",615539,"20",1300,"0.01231078",16.004014,0
"prescribe",466817,"20",1300,"0.00933634",12.137242,0
"prescribe",466877,"20",1300,"0.00933754",12.138802,1
"prescribe",466949,"20",1300,"0.00933898",12.140674,0
"prescribe",466709,"20",1300,"0.00933418",12.134433999999999,0
"prescribe",534237,"20",1300,"0.01068474",13.890162,0
"prescribe",466661,"20",1300,"0.00933322",12.133186,1
"prescribe",534285,"20",1300,"0.0106857",13.891409999999999,0
"prescribe",466721,"20",1300,"0.00933442",12.134746,0
"prescribe",534309,"20",1300,"0.01068618",13.892034,1
"prescribe",534297,"20",1300,"0.01068594",13.891722,0
"prescribe",615563,"20",1300,"0.01231126",16.004638,0
"prescribe",466829,"20",1300,"0.00933658",12.137554000000002,0
"prescribe",466805,"20",1300,"0.0093361",12.13693,1
"prescribe",466733,"20",1300,"0.00933466",12.135057999999999,0
"prescribe",466793,"20",1300,"0.00933586",12.136618,0
"prescribe",615767,"20",1300,"0.01231534",16.009942,1
"prescribe",534189,"20",1300,"0.01068378",13.888914,0
"prescribe",466769,"20",1300,"0.00933538",12.135994,0
"prescribe",615419,"20",1300,"0.01230838",16.000894000000002,0
"prescribe",534225,"20",1300,"0.0106845",13.88985,1
"prescribe",534189,"20",1300,"0.01068378",13.888914,0
"prescribe",615491,"20",1300,"0.01230982",16.002766,0
"prescribe",615767,"20",1300,"0.01231534",16.009942,1
"prescribe",466817,"20",1300,"0.00933634",12.137242,0
"prescribe",534453,"20",1300,"0.01068906",13.895778,0
"prescribe",534237,"20",1300,"0.01068474",13.890162,1
"prescribe",615443,"20",1300,"0.01230886",16.001518,0
"prescribe",534225,"20",1300,"0.0106845",13.88985,0
"prescribe",466589,"20",1300,"0.00933178",12.131314,1
"prescribe",534441,"20",1300,"0.01068882",13.895466,0
"prescribe",534249,"20",1300,"0.01068498",13.890474000000001,0
"prescribe",615479,"20",1300,"0.01230958",16.002454,0
"prescribe",534513,"20",1300,"0.01069026",13.897338,1
"prescribe",615455,"20",1300,"0.0123091",16.001829999999998,1
"prescribe",534285,"20",1300,"0.0106857",13.891409999999999,0
"prescribe",534153,"20",1300,"0.01068306",13.887977999999999,0
"prescribe",615755,"20",1300,"0.0123151",16.00963,0
"prescribe",534297,"20",1300,"0.01068594",13.891722,0
"prescribe",466673,"20",1300,"0.00933346",12.133498,1
"prescribe",466709,"20",1300,"0.00933418",12.134433999999999,0
"prescribe",534441,"20",1300,"0.01068882",13.895466,0
"prescribe",534297,"20",1300,"0.01068594",13.891722,1
"prescribe",466961,"20",1300,"0.00933922",12.140986,0
"prescribe",466793,"20",1300,"0.00933586",12.136618,1
"prescribe",466793,"20",1300,"0.00933586",12.136618,0
"prescribe",615563,"20",1300,"0.01231126",16.004638,0
"prescribe",615347,"20",1300,"0.01230694",15.999022,1
"prescribe",656377,"20",1300,"0.01312754",17.065802,0
"prescribe",615719,"20",1300,"0.01231438",16.008694,0
"prescribe",534369,"20",1300,"0.01068738",13.893594,1
"prescribe",615479,"20",1300,"0.01230958",16.002454,0
"prescribe",615599,"20",1300,"0.01231198",16.005574,0
"prescribe",615491,"20",1300,"0.01230982",16.002766,0
"prescribe",615491,"20",1300,"0.01230982",16.002766,0
"prescribe",466757,"20",1300,"0.00933514",12.135682000000001,2
"prescribe",534369,"20",1300,"0.01068738",13.893594,0
"prescribe",466733,"20",1300,"0.00933466",12.135057999999999,1
"prescribe",466805,"20",1300,"0.0093361",12.13693,0
"prescribe",534309,"20",1300,"0.01068618",13.892034,0
"prescribe",466793,"20",1300,"0.00933586",12.136618,1
"prescribe",534189,"20",1300,"0.01068378",13.888914,1
"prescribe",466865,"20",1300,"0.0093373",12.13849,1
"prescribe",466697,"20",1300,"0.00933394",12.134122000000001,1
"prescribe",615443,"20",1300,"0.01230886",16.001518,0
"prescribe",615539,"20",1300,"0.01231078",16.004014,0
"prescribe",466949,"20",1300,"0.00933898",12.140674,1
"prescribe",466697,"20",1300,"0.00933394",12.134122000000001,0
"prescribe",466757,"20",1300,"0.00933514",12.135682000000001,1
"prescribe",466793,"20",1300,"0.00933586",12.136618,0
