"filename", "language", "Shell Script", "JavaScript", "env", "JSON", "Solidity", "Markdown", "CSV", "HTML", "CSS", "XML", "Svelte", "comment", "blank", "total"
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/chaindoser/src/lib/contracts/Treatment.json", "JSON", 0, 0, 0, 14784, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14784
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/chaindoser/src/lib/contracts/TreatmentFactory.json", "JSON", 0, 0, 0, 9160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9160
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/chaindoser/src/lib/onStopTyping.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 27
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/chaindoser/src/lib/provider.js", "JavaScript", 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 115
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/chaindoser/src/lib/server/db.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 29
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/chaindoser/src/lib/store.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/chaindoser/src/routes/+layout.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 106, 0, 7, 113
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/chaindoser/src/routes/+page.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/chaindoser/src/routes/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 187, 1, 16, 204
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/chaindoser/src/routes/account/+page.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/chaindoser/src/routes/account/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/chaindoser/src/routes/api/+server.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 13
